id,item_name,base_consume_expectation,base_price,item_category,created_at,updated_at,is_deleted,embedding
1051dbe7f15e4c3fa6fd236a0c5fa1c5,비닐장갑,100,6000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
2051dbe7f15e4c3fa6fd236a0c5f11c5,반려동물 용품,10,5000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
3051dbe7f15e4c3fa6fd236a0c5f11c5,수세미,30,3000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
4051dbe7f15e4c3fa6fd236a0c5f11c5,정수 필터,60,7000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f1115,섬유유연제,70,10000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f1155,생수,3,600,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f1165,키친타올,14,1000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f1175,린스,40,10000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c0,물티슈,7,2000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c1,세제,150,10000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c2,샴푸,40,10000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c3,바디워시,40,10000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c4,치약,50,1500,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c5,휴지,7,500,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c6,칫솔,90,500,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c7,면도날,30,4000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c8,핸드워시,150,4000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f11c9,쓰레기봉투,2,360,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c051dbe7f15e4c3fa6fd236a0c5f12c5,로션,50,10000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
c251dbe7f15e4c3fa6fd236a0c5f11c5,욕실 세정제,150,5000,LIVINGROOM,2024-11-02 15:30:00,2024-11-02 15:30:00,0,
